name,rating,reviews,salaries,interviews,jobs
TCS,3.4,1.1L,9.6L,11.7k,2.1k
TCS,3.4,1.1L,9.6L,11.7k,2.1k
Accenture,3.7,70k,6.4L,9k,36.5k
TCS,3.4,1.1L,9.6L,11.7k,2.1k
Accenture,3.7,70k,6.4L,9k,36.5k
Wipro,3.6,62.2k,4.7L,6.4k,6.4k
TCS,3.4,1.1L,9.6L,11.7k,2.1k
Accenture,3.7,70k,6.4L,9k,36.5k
Wipro,3.6,62.2k,4.7L,6.4k,6.4k
Cognizant,3.7,59.2k,5.9L,6.2k,869
TCS,3.4,1.1L,9.6L,11.7k,2.1k
Accenture,3.7,70k,6.4L,9k,36.5k
Wipro,3.6,62.2k,4.7L,6.4k,6.4k
Cognizant,3.7,59.2k,5.9L,6.2k,869
Capgemini,3.7,50.8k,4.7L,5.3k,2k
TCS,3.4,1.1L,9.6L,11.7k,2.1k
Accenture,3.7,70k,6.4L,9k,36.5k
Wipro,3.6,62.2k,4.7L,6.4k,6.4k
Cognizant,3.7,59.2k,5.9L,6.2k,869
Capgemini,3.7,50.8k,4.7L,5.3k,2k
HDFC Bank,3.8,49.5k,1.5L,2.8k,203
TCS,3.4,1.1L,9.6L,11.7k,2.1k
Accenture,3.7,70k,6.4L,9k,36.5k
Wipro,3.6,62.2k,4.7L,6.4k,6.4k
Cognizant,3.7,59.2k,5.9L,6.2k,869
Capgemini,3.7,50.8k,4.7L,5.3k,2k
HDFC Bank,3.8,49.5k,1.5L,2.8k,203
Infosys,3.5,46.5k,5.1L,8.2k,2.8k
TCS,3.4,1.1L,9.6L,11.7k,2.1k
Accenture,3.7,70k,6.4L,9k,36.5k
Wipro,3.6,62.2k,4.7L,6.4k,6.4k
Cognizant,3.7,59.2k,5.9L,6.2k,869
Capgemini,3.7,50.8k,4.7L,5.3k,2k
HDFC Bank,3.8,49.5k,1.5L,2.8k,203
Infosys,3.5,46.5k,5.1L,8.2k,2.8k
ICICI Bank,4.0,44.6k,1.5L,2.8k,31
TCS,3.4,1.1L,9.6L,11.7k,2.1k
Accenture,3.7,70k,6.4L,9k,36.5k
Wipro,3.6,62.2k,4.7L,6.4k,6.4k
Cognizant,3.7,59.2k,5.9L,6.2k,869
Capgemini,3.7,50.8k,4.7L,5.3k,2k
HDFC Bank,3.8,49.5k,1.5L,2.8k,203
Infosys,3.5,46.5k,5.1L,8.2k,2.8k
ICICI Bank,4.0,44.6k,1.5L,2.8k,31
HCLTech,3.4,43.7k,3.7L,4.4k,297
TCS,3.4,1.1L,9.6L,11.7k,2.1k
Accenture,3.7,70k,6.4L,9k,36.5k
Wipro,3.6,62.2k,4.7L,6.4k,6.4k
Cognizant,3.7,59.2k,5.9L,6.2k,869
Capgemini,3.7,50.8k,4.7L,5.3k,2k
